SCHL_ID,SCHOOL_CODE,SCHOOL_NAME,PROVINCE_CODE,PROVINCE_NAME,DISTRICT_CODE,DISTRICT_NAME,LLGV_CODE,LLGV_NAME,SECTOR_CODE
18321,62A19,VIDARO ELEMENTARY SCHOOL,62,MADANG PROVINCE,6201,BOGIA,620101,ALMAMI RURAL,ELEM
18382,62C09,GANGLAU ELEMENTARY SCHOOL,62,MADANG PROVINCE,6204,RAI COAST,620413,SAIDOR,ELEM
971212,56142,SOPISE COMMUNITY SCHOOL,56,SOUTHERN HIGHLANDS PROVINCE,5603,KAGUA/ERAVE,560308,ERAVE RURAL,COM
15152,57B73,KABUIFA ELEMENTARY SCHOOL,57,EASTERN HIGHLANDS PROVINCE,5702,GOROKA,570202,GOROKA RURAL,ELEM
15154,57B45,HOFAGA ELEMENTARY SCHOOL,57,EASTERN HIGHLANDS PROVINCE,5708,UNGGAI/BENNA,570811,UNGGAI/BENNA RURAL,ELEM
15160,57C42,GENOKA  SALVATION ARMY ELEMENTARY SCHOOL,57,EASTERN HIGHLANDS PROVINCE,5702,GOROKA,570203,GOROKA URBAN,ELEM
15162,57C04,KOROVA ELEMENTARY SCHOOL,57,EASTERN HIGHLANDS PROVINCE,5705,LUFA,570507,LUFA RURAL,ELEM
15174,57C89,MAKIROKA ELEMENTARY SCHOOL,57,EASTERN HIGHLANDS PROVINCE,5702,GOROKA,570202,GOROKA RURAL,ELEM
15175,57C91,HENAGARU ELEMENTARY SCHOOL,57,EASTERN HIGHLANDS PROVINCE,5703,HENGANOFI,570304,HENGANOFI RURAL,ELEM
17210,57D45,IBUNARI ELEMENTARY SCHOOL,57,EASTERN HIGHLANDS PROVINCE,5707,OKAPA,570710,OKAPA RURAL,ELEM
972806,62G41,KALAGAT/TOKAIN ELEMENTARY SCHOOL,62,MADANG PROVINCE,6205,SUMKAR,620514,SUMGILBAR RURAL,ELEM
972832,62330,BAGBAG COMMUNITY SCHOOL,62,MADANG PROVINCE,6205,SUMKAR,620513,KARKAR RURAL,PRI
972833,62331,NARU ADVENTIST PRIMARY SCHOOL,62,MADANG PROVINCE,6206,USINO BUNDI,620616,USINO RURAL,PRI
971068,62D03,KUMUSI ELEMENTARY SCHOOL,62,MADANG PROVINCE,6206,USINO BUNDI,620616,USINO RURAL,ELEM
971069,64C72,HARK ELEMENTARY SCHOOL,64,WEST NEW BRITAIN PROVINCE,6402,TALASEA,640210,MOSA RURAL,ELEM
971072,64B73,AVIO ELEMENTARY SCHOOL,64,WEST NEW BRITAIN PROVINCE,6401,KANDRIAN/GLOUCESTER,640101,GASMATA RURAL,ELEM
971074,64B83,MAKLO ELEMENTARY SCHOOL,64,WEST NEW BRITAIN PROVINCE,6401,KANDRIAN/GLOUCESTER,640102,GLOUCESTER RURAL,ELEM
10260,52A36,IOKEA ELEMENTARY SCHOOL,52,GULF PROVINCE,5201,KEREMA,520102,EAST KEREMA RURAL,ELEM
10261,52A16,PETOE ELEMENTARY SCHOOL,52,GULF PROVINCE,5201,KEREMA,520101,CENTRAL KEREMA RURAL,ELEM
10262,52A76,GIBI ELEMENTARY SCHOOL,52,GULF PROVINCE,5202,KIKORI,520208,EAST KIKORO RURAL,ELEM
13496,57571,MAIMAFU PRIMARY SCHOOL,57,EASTERN HIGHLANDS PROVINCE,5705,LUFA,570507,LUFA RURAL,PRI
11593,54D67,MADAU ELEMENTARY SCHOOL,54,MILNE BAY PROVINCE,5402,SAMARAI-MURUA,540211,MURUA RURAL,ELEM
9223,53375,DAGONA PRIMARY SCHOOL,53,CENTRAL PROVINCE,5304,RIGO,530411,RIGO CENTRAL RURAL,PRI
9252,53382,DARAVA PRIMARY SCHOOL,53,CENTRAL PROVINCE,5301,ABAU,530101,AMAZON BAY RURAL,PRI
9899,54A80,OYAUAT ELEMENTARY SCHOOL,54,MILNE BAY PROVINCE,5402,SAMARAI-MURUA,540211,MURUA RURAL,ELEM
7743,73218,AUWI PRIMARY SCHOOL,73,HELA,7305,KOROBA/KOPIAGO,730514,AWI/POWI RURAL,PRI
13169,52077,SIKALU PRIMARY SCHOOL,52,GULF PROVINCE,5201,KEREMA,520104,KEREMA URBAN,COM
13170,65C97,BUTUVIN ELEMENTARY SCHOOL,65,EAST NEW BRITAIN PROVINCE,6502,KOKOPO,650208,KOKOPO/VUNAMAMI URBAN,ELEM
15177,57C94,SAMOGOZUHA ELEMENTARY SCHOOL,57,EASTERN HIGHLANDS PROVINCE,5702,GOROKA,570202,GOROKA RURAL,ELEM
15180,57D06,HEOMUINA ELEMENTARY SCHOOL,57,EASTERN HIGHLANDS PROVINCE,5703,HENGANOFI,570304,HENGANOFI RURAL,ELEM
9228,53363,DELENA PRIMARY SCHOOL,53,CENTRAL PROVINCE,5303,KAIRUKU/HIRI,530308,KAIRUKU RURAL,PRI
11637,71A71,KUDA ELEM SCHOOL,71,KIUNGA LAKE MURRAY,7102,NORTH FLY,710206,KIUNGA RURAL,ELEM
9371,53038,KOKOROGORO PRIMARY SCHOOL,53,CENTRAL PROVINCE,5304,RIGO,530413,RIGO INLAND RURAL,PRI
9752,61602,YANGORU SECONDARY SCHOOL,61,EAST SEPIK PROVINCE,6106,YANGORU SAUSSIA,610623,EAST YANGORU RURAL,SEC
9757,55193,MONGANA PRIMARY SCHOOL,55,NORTHERN PROVINCE,5501,IJIVITARI,550102,CAPE NELSON RURAL,PRI
18483,62F81,JEREKIN ELEMENTARY SCHOOL,62,MADANG PROVINCE,6201,BOGIA,620103,YAWAR RURAL,ELEM
18487,62F51,FULUMU ELEMENTARY,62,MADANG PROVINCE,6202,MADANG,620204,AMBENOB RURAL,ELEM
18489,6.2E+37,IKU/ARI ELEMENTARY SCHOOL,62,MADANG PROVINCE,6201,BOGIA,620103,YAWAR RURAL,ELEM
